student_id,"Subscription Type","Subscription Type Res",max(purchase_date),created_at,price,price
18692,monthly,annual,"2021-05-26 10:24:46","2021-11-26 19:09:10",36,118.66
19075,monthly,annual,"2020-04-26 00:00:00","2020-07-14 00:00:00",44.51,213.64
19787,monthly,annual,"2021-07-25 11:47:24","2021-08-25 16:51:14",44.31,421.65
20085,monthly,annual,"2022-01-22 00:43:57","2022-08-29 17:01:19",9,121.75
20174,monthly,annual,"2020-05-17 00:00:00","2020-07-03 00:00:00",18,174
21449,monthly,annual,"2020-03-07 00:00:00","2021-11-29 13:22:00",43.61,142.67
21966,monthly,annual,"2020-05-19 00:00:00","2022-10-20 08:00:29",31.18,99
22857,monthly,annual,"2021-09-19 10:21:45","2021-09-21 00:21:07",28.8,122.28
23727,monthly,annual,"2020-06-05 00:00:00","2022-02-22 18:29:27",36,99
28074,monthly,annual,"2020-04-19 00:00:00","2020-04-29 03:00:00",35.27,139.2
33495,monthly,annual,"2022-09-12 18:25:28","2022-09-19 17:40:32",36,122.35
63294,monthly,annual,"2021-02-11 06:44:43","2022-08-31 02:59:12",36,99
93270,monthly,annual,"2021-09-15 20:35:22","2022-02-17 13:21:55",33.07,119.53
125191,monthly,annual,"2020-04-03 00:00:00","2021-12-02 03:21:25",36,118.66
133949,monthly,annual,"2021-11-23 08:03:22","2021-11-25 12:06:45",36,84.41
143615,monthly,annual,"2021-04-01 08:41:42","2022-06-30 13:41:10",36,99
143701,monthly,annual,"2021-05-02 10:22:24","2021-05-26 19:53:50",32.4,132.8
144239,monthly,annual,"2021-07-09 10:35:39","2021-07-26 11:42:13",38.78,140.19
144400,monthly,annual,"2021-02-09 23:13:02","2021-03-19 04:50:56",36.02,150.24
144900,monthly,annual,"2021-02-16 11:36:24","2021-02-16 13:32:24",41.4,170.71
144956,monthly,annual,"2021-02-17 18:18:13","2021-03-15 15:54:53",36,136.73
145310,monthly,annual,"2021-02-22 00:37:39","2021-03-19 04:37:09",29.38,89
145311,monthly,annual,"2021-06-22 10:09:15","2022-01-17 19:40:38",38.38,159.58
145313,monthly,annual,"2022-05-31 18:16:25","2022-05-31 18:16:31",44.12,144.35
145473,monthly,annual,"2021-02-24 01:20:20","2021-03-18 03:59:26",36,133.23
146015,monthly,annual,"2021-03-04 05:37:04","2021-03-16 05:23:24",28.8,127.4
146397,monthly,annual,"2021-03-10 01:22:36","2022-08-31 19:53:46",35.91,99
146613,monthly,annual,"2021-05-24 20:02:08","2021-05-31 00:35:26",38.93,128.93
146625,monthly,annual,"2021-05-24 01:06:33","2021-06-24 08:57:12",41.4,139.71
146867,monthly,annual,"2021-03-16 00:25:02","2022-01-20 22:38:20",38.25,149.98
147405,monthly,annual,"2021-05-24 08:38:47","2021-05-31 06:49:50",37.8,125.2
147906,monthly,annual,"2021-03-29 12:27:24","2022-02-16 19:20:58",43.25,117.81
148467,monthly,annual,"2021-05-06 10:04:07","2021-09-24 12:24:27",44.28,96.8
148670,monthly,annual,"2021-05-29 19:07:41","2021-11-29 16:22:49",36.74,134.13
148755,monthly,annual,"2021-11-08 09:54:16","2021-11-29 09:23:52",31.05,108.24
149500,monthly,annual,"2021-06-01 17:20:26","2021-06-04 05:19:14",38.38,124.03
149892,monthly,annual,"2021-06-25 13:50:25","2021-07-25 11:39:34",32.54,143.15
150061,monthly,annual,"2021-05-20 10:20:54","2021-05-27 12:12:59",39.2,129.83
150819,monthly,annual,"2021-05-01 23:12:15","2021-07-23 23:58:53",44.22,180.09
150906,monthly,annual,"2021-07-02 18:28:57","2021-11-29 14:13:15",38.88,128.16
152060,monthly,annual,"2021-05-20 23:48:09","2021-06-03 01:52:44",36,124.49
152841,monthly,annual,"2021-07-07 10:29:57","2021-07-28 05:29:57",38.73,139
153526,monthly,annual,"2021-05-13 14:39:41","2021-06-03 13:59:23",29.19,143.42
153953,monthly,annual,"2021-07-17 08:24:55","2021-07-21 13:57:21",42.63,141.18
154143,monthly,annual,"2021-11-17 10:46:00","2021-11-23 13:02:24",28.38,116.38
155621,monthly,annual,"2021-07-24 09:26:50","2021-11-26 12:10:42",37.8,48.01
156406,monthly,annual,"2021-08-30 09:49:40","2022-07-27 03:16:23",38.38,149.99
157360,monthly,annual,"2021-11-13 11:16:12","2021-11-27 11:47:06",29.38,122.61
157800,monthly,annual,"2021-10-03 19:39:30","2022-06-27 15:28:53",36,99
158179,monthly,annual,"2021-07-25 11:39:24","2021-07-27 14:37:25",43.17,180
158463,monthly,annual,"2021-08-01 08:26:44","2022-02-16 19:52:34",36,99
159359,monthly,annual,"2021-07-06 02:49:58","2021-08-27 12:19:40",36.91,99.29
160452,monthly,annual,"2021-07-18 02:47:39","2021-07-28 13:58:47",39.6,164.98
160705,monthly,annual,"2021-07-16 10:01:08","2021-08-27 12:57:15",36,99
161371,monthly,annual,"2021-08-24 12:09:49","2021-08-31 04:53:26",37.8,160.68
161829,monthly,annual,"2021-11-20 09:38:34","2021-11-26 17:51:28",33.76,107.18
161866,monthly,annual,"2021-09-18 09:20:16","2021-09-21 12:57:13",28.8,58.25
162502,monthly,annual,"2021-09-10 10:58:21","2021-09-22 21:18:25",36,123.45
163248,monthly,annual,"2021-09-27 13:08:51","2021-09-27 13:19:23",36,113.98
163884,monthly,annual,"2021-09-16 12:28:30","2021-12-03 13:02:24",41.4,128.38
164151,monthly,annual,"2021-09-18 09:37:21","2021-10-18 14:33:59",34.24,174.03
164310,monthly,annual,"2021-11-22 10:48:22","2021-11-28 17:15:29",32.62,119.93
164348,monthly,annual,"2021-11-20 10:04:10","2021-11-29 14:13:23",28.8,95.57
