original canceled date,resurrected canceled date,original created date,resurrected created date,original end date,resurrected end date,original next charge date,resurrected next charge date,original plan,resurrected plan,student_id,original subscription id,resurrected subscription id,days to resurrection
4/22/2021 0:00,8/30/2021 0:00,1/28/2021 23:46,8/27/2021 8:02,4/29/2021 0:00,8/27/2022 0:00,4/29/2021 3:00,8/27/2022 0:00,annual,annual,8791,2079,5270,120
NULL,NULL,1/28/2021 23:46,8/27/2021 8:15,4/13/2021 0:00,9/5/2022 0:00,4/4/2021 3:00,8/27/2022 0:00,annual,annual,2807,3081,5273,136
3/17/2021 0:00,NULL,1/28/2021 23:46,8/27/2021 9:27,4/17/2021 0:00,NULL,4/17/2021 3:00,8/27/2023 0:00,annual,annual,2243,2735,5274,132
NULL,NULL,1/28/2021 23:46,8/27/2021 12:04,4/28/2021 0:00,NULL,4/24/2021 3:00,8/27/2023 0:00,annual,annual,9112,2288,5277,121
8/6/2021 0:00,11/22/2022 0:00,7/6/2021 2:49,8/27/2021 12:19,8/6/2021 0:00,11/27/2022 0:00,8/6/2021 0:00,11/27/2022 0:00,monthly,annual,159359,4771,5278,21
8/7/2021 0:00,7/22/2022 0:00,7/16/2021 10:01,8/27/2021 12:57,8/16/2021 0:00,8/27/2022 0:00,8/16/2021 0:00,8/27/2022 0:00,monthly,annual,160705,4842,5279,11
NULL,NULL,1/28/2021 23:44,8/27/2021 13:58,7/30/2021 0:00,NULL,7/9/2021 3:00,8/27/2023 0:00,annual,annual,9409,1731,5283,28
NULL,NULL,5/30/2021 19:30,8/29/2021 19:50,7/5/2021 0:00,10/3/2021 0:00,6/30/2021 0:00,9/29/2021 0:00,monthly,monthly,29303,4419,5298,55
6/28/2021 0:00,NULL,1/28/2021 23:44,8/30/2021 16:18,7/27/2021 0:00,9/8/2022 0:00,7/27/2021 0:00,8/30/2022 0:00,monthly,annual,2764,1585,5309,34
NULL,11/30/2022 0:00,1/28/2021 23:46,8/31/2021 2:13,4/6/2021 0:00,11/30/2023 0:00,3/31/2021 3:00,11/30/2023 0:00,annual,annual,2495,3112,5319,147
7/29/2021 0:00,8/30/2022 0:00,1/28/2021 23:44,8/31/2021 15:33,8/3/2021 0:00,8/31/2022 0:00,8/3/2021 3:00,8/31/2022 0:00,annual,annual,13538,1565,5329,28
