user_id,current status,plan,tag
2973,1,Annual,Base
2978,3,Annual,Base
2984,1,Annual,Base
3056,3,Annual,Base
3062,3,Annual,Base
3070,1,Annual,Base
3075,1,Annual,Base
3080,1,Annual,Base
3086,1,Annual,Base
3112,3,Annual,Churned
3112,3,Annual,Base
3115,2,Annual,Base
3117,1,Annual,Base
3148,1,Annual,Base
3162,1,Annual,Base
3183,2,Annual,Base
3215,1,Annual,Base
3219,1,Annual,Base
3225,1,Annual,Base
3238,3,Annual,Base
3239,1,Annual,Base
3255,3,Annual,Base
3260,2,Annual,Base
3286,1,Annual,Base
3303,1,Annual,Base
3308,3,Annual,Base
3338,1,Annual,Base
3358,2,Annual,Base
3375,1,Annual,Base
3393,1,Annual,Base
3402,1,Annual,Base
3406,2,Annual,Base
3419,2,Annual,Base
3420,1,Annual,Base
3423,1,Annual,Base
3468,1,Annual,Base
3478,1,Annual,Base
3481,2,Annual,Base
3494,2,Annual,Base
3511,1,Annual,Base
3524,1,Annual,Base
3541,1,Annual,Base
3554,1,Annual,Base
3577,1,Annual,Base
3598,1,Annual,Base
3618,1,Annual,Base
3631,2,Annual,Base
3647,3,Annual,Churned
3647,3,Annual,Base
3652,3,Annual,Base
3681,2,Annual,Base
3698,1,Annual,Base
3747,2,Annual,Base
3750,2,Annual,Base
3751,1,Monthly,Base
3787,1,Annual,Base
3791,3,Monthly,Base
3791,3,Annual,Churned
3799,1,Annual,Base
3816,1,Annual,Base
3817,1,Annual,Base
3822,2,Annual,Base
3824,1,Annual,Base
3826,1,Monthly,Base
3852,3,Annual,Base
3856,1,Annual,Base
3857,3,Annual,Churned
3857,3,Annual,Base
3865,1,Annual,Base
3908,1,Quarterly,Base
3910,2,Annual,Base
3916,1,Annual,Base
3926,2,Annual,Base
3927,1,Annual,Base
3933,2,Annual,Base
3938,1,Annual,Base
3982,1,Annual,Base
3984,1,Annual,Base
3987,1,Annual,Base
3991,1,Annual,Base
4013,1,Monthly,Resurrected
4019,1,Annual,Base
4042,1,Annual,Base
4053,2,Annual,Base
4054,1,Annual,Base
4055,1,Annual,Base
4064,2,Annual,Base
4065,1,Annual,Base
4078,1,Annual,Base
4100,1,Monthly,Base
4146,1,Quarterly,Base
4162,1,Annual,Base
4167,1,Annual,Base
4186,2,Annual,Base
4194,2,Annual,Base
4241,2,Annual,Base
4242,1,Annual,Base
4303,3,Annual,Base
4319,1,Annual,Base
4320,1,Annual,Base
4337,1,Annual,Base
4371,1,Annual,Base
4376,1,Annual,Base
4384,2,Annual,Base
4395,1,Annual,Base
4404,1,Annual,Base
4435,1,Annual,Base
4439,1,Monthly,Resurrected
4465,1,Annual,Base
4478,2,Annual,Base
4481,1,Annual,Base
4514,1,Annual,Base
4516,1,Annual,Base
4537,1,Annual,Base
4558,1,Annual,Base
4560,1,Annual,Base
4562,1,Annual,Base
4568,2,Annual,Base
4595,1,Annual,Base
4640,1,Annual,Base
4665,1,Annual,Base
4672,1,Annual,Base
4686,1,Annual,Base
4718,1,Annual,Base
4723,1,Annual,Base
4743,1,Annual,Base
4756,1,Annual,Base
4778,1,Annual,Base
4784,1,Annual,Base
4795,1,Annual,Base
4827,2,Annual,Base
4833,1,Annual,Base
4872,1,Annual,Base
4884,1,Annual,Base
4922,1,Annual,Base
4923,3,Annual,Base
4927,3,Annual,Churned
4927,3,Annual,Base
4929,1,Annual,Base
4991,1,Annual,Base
5006,1,Annual,Base
5010,1,Annual,Base
5016,1,Annual,Base
5018,1,Annual,Base
5028,1,Annual,Base
5062,2,Annual,Base
5064,1,Annual,Base
5070,1,Annual,Base
5071,1,Annual,Base
5076,2,Annual,Base
5080,1,Annual,Base
5104,1,Annual,Base
5109,1,Annual,Base
5130,1,Annual,Base
5143,1,Annual,Base
5155,1,Annual,Base
5207,3,Annual,Base
5211,1,Annual,Base
5254,1,Annual,Base
